Injun => 
instigate => correct.
instigated => correct.
instigates => correct.
instigating => correct.
instigator => correct.
instigators => correct.
instill => correct.
instinct => correct.
instinctive => correct.
instinctively => correct.
instincts => correct.
instinctual => correct.
institute => correct.
instituted => correct.
instituter => correct.
instituters => correct.
institutes => correct.
instituting => correct.
institution => correct.
institutional => correct.
institutionalize => correct.
institutionalized => institutionalize, institutionalizes, institutionalised.
institutionalizes => correct.
institutionalizing => correct.
institutionally => correct.
institutions => correct.
instruct => correct.
instructed => correct.
instructing => correct.
instruction => correct.
instructional => correct.
instructions => correct.
instructive => correct.
instructively => correct.
instructor => correct.
instructors => correct.
instructs => correct.
instrument => correct.
instrumental => correct.
instrumentalist => correct.
instrumentalists => correct.
instrumentally => correct.
instrumentals => correct.
instrumentation => correct.
instrumented => correct.
instrumenting => correct.
instruments => correct.
insubordinate => correct.
insufferable => correct.
insufficient => correct.
insufficiently => correct.
insular => correct.
insulate => correct.
insulated => correct.
insulates => correct.
insulating => correct.
insulation => correct.
insulator => correct.
insulators => correct.
insulin => correct.
insult => correct.
insulted => correct.
insulting => correct.
insults => correct.
insuperable => correct.
insupportable => correct.
insurance => correct.
insure => correct.
insured => correct.
insurer => correct.
insurers => correct.
insures => correct.
insurgent => correct.
insurgents => correct.
insuring => correct.
insurmountable => correct.
insurrection => correct.
insurrections => correct.
intact => correct.
intangible => correct.
intangibles => correct.
integer => correct.
integers => correct.
integrable => correct.
integral => correct.
integrals => correct.
integrand => correct.
integrate => correct.
integrated => correct.
integrates => correct.
integrating => correct.
integration => correct.
integrations => correct.
integrative => correct.
integrity => correct.
Intel => inter, lintel, intil.
intellect => correct.
intellects => correct.
intellectual => correct.
intellectually => correct.
intellectuals => correct.
intelligence => correct.
intelligent => correct.
intelligently => correct.
intelligentsia => correct.
intelligibility => correct.
intelligible => correct.
intelligibly => correct.
Intelsat => 
intemperate => correct.
intend => correct.
intended => correct.
intending => correct.
intends => correct.
intense => correct.
intensely => correct.
intensification => 
intensified => correct.
intensifier => correct.
intensifiers => correct.
intensifies => correct.
intensify => correct.
intensifying => correct.
intensities => correct.
intensity => correct.
intensive => correct.
intensively => correct.
intent => correct.
intention => correct.
intentional => correct.
intentionally => correct.
intentioned => 
intentions => correct.
intently => correct.
intentness => correct.
intents => correct.
inter => correct.
interact => correct.
interacted => correct.
interacting => correct.
interaction => correct.
interactions => correct.
interactive => correct.
interactively => correct.
interactivity => 
interacts => correct.
intercept => correct.
intercepted => correct.
intercepting => correct.
interception => correct.
interceptor => correct.
intercepts => correct.
interchange => correct.
interchangeability => correct.
interchangeable => correct.
interchangeably => correct.
interchanged => correct.
interchanger => correct.
interchanges => correct.
interchanging => correct.
interchangings => interchanging.
interchannel => correct.
intercity => correct.
intercom => correct.
intercommunicate => correct.
intercommunicated => correct.
intercommunicates => correct.
intercommunicating => correct.
intercommunication => correct.
interconnect => correct.
interconnected => correct.
interconnecting => correct.
interconnection => correct.
interconnections => correct.
interconnects => correct.
intercontinental => correct.
intercourse => correct.
Interdata => 
interdependence => correct.
interdependencies => correct.
interdependency => correct.
interdependent => correct.
interdict => correct.
interdiction => 
interdisciplinary => correct.
interest => correct.
interested => correct.
interesting => correct.
interestingly => correct.
interests => correct.
interface => correct.
interfaced => correct.
interfacer => interfaced, interface, interfaces.
interfaces => correct.
interfacing => correct.
interfere => correct.
interfered => correct.
interference => correct.
interferences => correct.
interferes => correct.
interfering => correct.
interferingly => 
interferometer => correct.
interferometric => correct.
interferometry => correct.
interframe => 
intergroup => correct.
interim => correct.
interior => correct.
interiors => correct.
interject => correct.
interlace => correct.
interlaced => correct.
interlaces => correct.
interlacing => correct.
interleave => correct.
interleaved => correct.
interleaves => correct.
interleaving => correct.
interlink => correct.
interlinked => correct.
interlinks => correct.
interlisp => 
intermediary => correct.
intermediate => correct.
intermediates => correct.
interminable => correct.
intermingle => correct.
intermingled => correct.
intermingles => correct.
intermingling => correct.
intermission => correct.
intermittent => correct.
intermittently => correct.
intermix => correct.
intermixed => correct.
intermodule => 
intern => correct.
internal => correct.
internalize => correct.
internalized => correct.
internalizes => correct.
internalizing => correct.
internally => correct.
internals => correct.
international => correct.
internationality => correct.
internationally => correct.
interned => correct.
INTERNET => correct.
Internet => correct.
internetwork => 
interning => correct.
interns => correct.
internship => correct.
interoffice => correct.
interpersonal => correct.
interplay => correct.
Interpol => 
interpolate => correct.
interpolated => correct.
interpolates => correct.
interpolating => correct.
interpolation => correct.
interpolations => correct.
interpose => correct.
interposed => correct.
interposes => correct.
interposing => correct.
interpret => correct.
interpretable => correct.
interpretation => correct.
interpretations => correct.
interpreted => correct.
interpreter => correct.
interpreters => correct.
interpreting => correct.
interpretive => correct.
interpretively => correct.
interprets => correct.
interprocess => 
interrelate => correct.
interrelated => correct.
interrelates => correct.
interrelating => correct.
interrelation => correct.
interrelations => correct.
interrelationship => correct.
interrelationships => correct.
interrogate => correct.
interrogated => correct.
interrogates => correct.
interrogating => correct.
interrogation => correct.
interrogations => correct.
interrogative => correct.
interrupt => correct.
interrupted => correct.
interruptible => correct.
interrupting => correct.
interruption => correct.
interruptions => correct.
interruptive => correct.
interrupts => correct.
intersect => correct.
intersected => correct.
intersecting => correct.
intersection => correct.
intersections => correct.
intersects => correct.
intersperse => correct.
interspersed => correct.
intersperses => correct.
interspersing => 
interspersion => correct.
interstage => correct.
interstate => correct.
intertwine => correct.
intertwined => correct.
intertwines => correct.
intertwining => correct.
interval => correct.
intervals => correct.
intervene => correct.
intervened => correct.
intervenes => correct.
intervening => correct.
intervention => correct.
interventions => correct.
interview => correct.
interviewed => correct.
interviewee => correct.
interviewer => correct.
interviewers => correct.
interviewing => correct.
interviews => correct.
interwoven => correct.
intestate => correct.
intestinal => correct.
intestine => correct.
intestines => correct.
intimacy => correct.
intimate => correct.
intimated => correct.
intimately => correct.
intimating => correct.
intimation => correct.
intimations => correct.
intimidate => correct.
intimidated => correct.
intimidates => correct.
intimidating => correct.
intimidation => correct.
into => correct.
intolerable => correct.
intolerably => correct.
intolerance => correct.
intolerant => correct.
intonation => correct.
intonations => correct.
intone => correct.
intoxicant => correct.
intoxicate => correct.
intoxicated => correct.
intoxicating => correct.
intoxication => correct.
intractability => correct.
intractable => correct.
intractably => correct.
intragroup => 
intraline => 
intramural => correct.
intramuscular => correct.
intransigent => correct.
intransitive => correct.
intransitively => correct.
intraoffice => 
intraprocess => 
intrastate => correct.
intravenous => correct.
intrepid => correct.
intricacies => 
intricacy => correct.
intricate => correct.
intricately => correct.
intrigue => correct.
intrigued => correct.
intrigues => correct.
intriguing => correct.
intrinsic => correct.
intrinsically => correct.
introduce => correct.
introduced => correct.
introduces => correct.
introducing => correct.
introduction => correct.
introductions => correct.
introductory => correct.
introspect => correct.
introspection => correct.
introspections => correct.
introspective => correct.
introvert => correct.
introverted => correct.
intrude => correct.
intruded => correct.
intruder => correct.
intruders => correct.
intrudes => correct.
intruding => correct.
intrusion => correct.
intrusions => correct.
intrust => correct.
intubate => correct.
intubated => correct.
intubates => correct.
intubation => correct.
intuition => correct.
intuitionist => correct.
intuitions => correct.
intuitive => correct.
intuitively => correct.
inundate => correct.
invade => correct.
invaded => correct.
invader => correct.
invaders => correct.
invades => correct.
invading => correct.
invalid => correct.
invalidate => correct.
invalidated => correct.
invalidates => correct.
invalidating => correct.
invalidation => correct.
invalidations => correct.
invalidities => correct.
invalidity => correct.
invalidly => correct.
invalids => correct.
invaluable => correct.
invariable => correct.
invariably => correct.
invariance => correct.
invariant => correct.
invariantly => 
invariants => correct.
invasion => correct.
invasions => correct.
invective => correct.
invent => correct.
invented => correct.
inventing => correct.
invention => correct.
inventions => correct.
inventive => correct.
inventively => correct.
inventiveness => correct.
inventor => correct.
inventories => correct.
inventors => correct.
inventory => correct.
invents => correct.
Inverness => correct.
inverse => correct.
inversely => correct.
inverses => correct.
inversion => correct.
inversions => correct.
invert => correct.
invertebrate => correct.
invertebrates => correct.
inverted => correct.
inverter => correct.
inverters => correct.
invertible => correct.
inverting => correct.
inverts => correct.
invest => correct.
invested => correct.
investigate => correct.
investigated => correct.
investigates => correct.
investigating => correct.
investigation => correct.
investigations => correct.
investigative => correct.
investigator => correct.
investigators => correct.
investigatory => correct.
investing => correct.
investment => 
investments => correct.
investor => correct.
investors => correct.
invests => correct.
inveterate => correct.
invigorate => correct.
invincible => correct.
invisibility => correct.
invisible => correct.
invisibly => correct.
invitation => correct.
invitations => correct.
invite => correct.
invited => correct.
invites => correct.
inviting => correct.
invocable => 
invocation => correct.
invocations => correct.
invoice => correct.
invoiced => correct.
invoices => correct.
invoicing => correct.
invoke => correct.
invoked => correct.
invoker => correct.
invokes => correct.
invoking => correct.
involuntarily => correct.
involuntary => correct.
involve => correct.
involved => correct.
involvement => correct.
involvements => correct.
involves => correct.
involving => correct.
inward => correct.
inwardly => correct.
inwardness => correct.
inwards => correct.
Io => bio, gio, bo, do, go, ho, jo.
iodine => correct.
ion => correct.
Ionian => eonian.
Ionians => 
Ionicization => 
Ionicizations => 
Ionicize => 
Ionicizes => 
ionosphere => correct.
ionospheric => correct.
ions => correct.
iota => correct.
Iowa => iota, mowa.
Ira => lira, ita, bra, era, fra, ora, ria.
Iran => bran, cran, gran, ran, iron.
Iranian => 
Iranians => 
Iranize => ironize.
Iranizes => ironizes.
Iraq => 
Iraqi => 
Iraqis => 
irate => correct.
irately => correct.
irateness => correct.
ire => correct.
Ireland => correct.
Irene => irone, sirene.
ires => correct.
iris => correct.
Irish => iris, arish.
Irishize => 
Irishizes => 
Irishman => 
Irishmen => 
irk => correct.
irked => correct.
irking => correct.
irks => correct.
irksome => correct.
Irma => rima, firma.
iron => correct.
ironed => correct.
ironic => correct.
ironical => correct.
ironically => correct.
ironies => correct.
ironing => correct.
ironings => correct.
irons => correct.
irony => correct.
Iroquois => 
irradiate => correct.
irrational => correct.
irrationally => correct.
irrationals => correct.
Irrawaddy => 
irreconcilable => correct.
irrecoverable => correct.
irreducible => correct.
irreducibly => correct.
irreflexive => correct.
irrefutable => correct.
irregular => correct.
irregularities => correct.
irregularity => correct.
irregularly => correct.
irregulars => correct.
irrelevance => correct.
irrelevances => correct.
irrelevant => correct.
irrelevantly => correct.
irreplaceable => correct.
irrepressible => correct.
irreproducibility => correct.
irreproducible => correct.
irresistible => correct.
irrespective => correct.
irrespectively => 
irresponsible => correct.
irresponsibly => correct.
irretrievably => correct.
irreverent => correct.
irreversibility => correct.
irreversible => correct.
irreversibly => correct.
irrevocable => correct.
irrevocably => correct.
irrigate => correct.
irrigated => correct.
irrigates => correct.
irrigating => correct.
irrigation => correct.
irritable => correct.
irritant => correct.
irritate => correct.
irritated => correct.
irritates => correct.
irritating => correct.
irritation => correct.
irritations => correct.
Irvin => 
Irvine => 
Irving => iring, riving, irking.
Irwin => 
is => correct.
Isaac => 
Isaacs => 
Isaacson => 
Isabel => 
Isabella => sabella.
Isadore => 
Isaiah => correct.
Isfahan => 
Ising => sing, iring, rising, vising, wising, using, icing, isling.
Isis => iris, psis, iwis, sis, isms, ibis.
Islam => slam.
Islamabad => 
Islamic => correct.
Islamization => 
Islamizations => 
Islamize => 
Islamizes => 
island => correct.
islander => correct.
islanders => correct.
Islandia => 
islands => correct.
isle => correct.
isles => correct.
islet => correct.
islets => correct.
isolate => correct.
isolated => correct.
isolates => correct.
isolating => correct.
isolation => correct.
isolations => correct.
Isolde => 
isometric => correct.
isomorphic => correct.
isomorphically => correct.
isomorphism => correct.
isomorphisms => correct.
isotope => correct.
isotopes => correct.
Israel => correct.
Israeli => correct.
Israelis => israeli.
Israelite => 
Israelites => 
Israelitize => 
Israelitizes => 
issuance => correct.
issue => correct.
issued => correct.
issuer => correct.
issuers => correct.
issues => correct.
issuing => correct.
Istanbul => 
isthmus => correct.
Istvan => 
it => correct.
Italian => correct.
Italianization => 
Italianizations => 
Italianize => correct.
Italianizer => italianizes, italianized, italianize.
Italianizers => italianizes.
Italianizes => correct.
Italians => italian.
italic => correct.
italicize => correct.
italicized => correct.
italics => correct.
Italy => correct.
itch => correct.
itches => correct.
itching => correct.
Itel => item, tel.
item => correct.
itemization => correct.
itemizations => correct.
itemize => correct.
itemized => correct.
itemizes => correct.
itemizing => correct.
items => correct.
iterate => correct.
iterated => correct.
iterates => correct.
iterating => correct.
iteration => correct.
iterations => correct.
iterative => correct.
iteratively => correct.
iterator => literator.
iterators => literators.
Ithaca => 
Ithacan => 
itineraries => correct.
itinerary => correct.
Ito => its, into, ita, it, bito, cito.
its => correct.
itself => correct.
Ivan => van, divan.
Ivanhoe => 
Iverson => 
ivies => correct.
ivory => correct.
ivy => correct.
Izaak => 
Izvestia => 
jab => correct.
jabbed => correct.
jabbing => correct.
Jablonsky => 
jabs => correct.
jack => correct.
jackass => correct.
jacket => correct.
jacketed => correct.
jackets => correct.
Jackie => hackie.
jacking => correct.
jackknife => correct.
Jackman => correct.
jackpot => correct.
Jackson => 
Jacksonian => 
Jacksons => 
Jacksonville => 
Jacky => correct.
Jacob => 
Jacobean => 
Jacobi => 
Jacobian => jacobin.
Jacobinize => 
Jacobite => 
Jacobs => jacobus.
Jacobsen => 
Jacobson => 
Jacobus => correct.
Jacoby => 
Jacqueline => 
Jacques => sacques.
jade => correct.
jaded => correct.
Jaeger => correct.
jaguar => correct.
jail => correct.
jailed => correct.
jailer => correct.
jailers => correct.
jailing => correct.
jails => correct.
Jaime => 
Jakarta => correct.
Jake => correct.
Jakes => correct.
jam => correct.
Jamaica => correct.
Jamaican => jamaica.
James => correct.
Jameson => 
Jamestown => 
jammed => correct.
jamming => correct.
jams => correct.
Jane => correct.
Janeiro => 
Janesville => 
Janet => jane, manet, janes.
Janice => 
Janis => ranis, anis, janes.
janitor => correct.
janitors => correct.
Janos => jatos, fanos, manos, janes.
Jansen => 
Jansenist => 
Januaries => 
January => correct.
Janus => manus, anus, janes.
Japan => correct.
Japanese => 
Japanization => 
Japanizations => 
Japanize => correct.
Japanized => correct.
Japanizes => correct.
Japanizing => correct.
jar => correct.
jargon => correct.
jarred => correct.
jarring => correct.
jarringly => correct.
jars => correct.
Jarvin => 
Jason => mason, bason.
Jastrow => 
jaundice => correct.
jaunt => correct.
jauntiness => correct.
jaunts => correct.
jaunty => correct.
Java => correct.
Javanese => 
javelin => correct.
javelins => correct.
jaw => correct.
jawbone => correct.
jaws => correct.
jay => correct.
Jaycee => jaygee, jayvee.
Jaycees => jaygees, jayvees.
jazz => correct.
jazzy => correct.
jealous => correct.
jealousies => correct.
jealously => correct.
jealousy => correct.
jean => correct.
Jeanne => 
Jeannie => 
jeans => correct.
Jed => fed, ged, ked, led, jeed, jeed, ed, bed.
jeep => correct.
jeeps => correct.
jeer => correct.
jeers => correct.
Jeff => correct.
Jefferson => 
Jeffersonian => 
Jeffersonians => 
Jeffrey => 
Jehovah => correct.
jellies => correct.
Jello => correct.
jelly => correct.
jellyfish => 
Jenkins => jerkins.
Jennie => 
Jennifer => 
Jennings => kennings.
jenny => correct.
Jensen => 
jeopardize => correct.
jeopardized => jeopardised, jeopardizes, jeopardize.
jeopardizes => correct.
jeopardizing => correct.
jeopardy => correct.
Jeremiah => jeremiad.
Jeremy => 
Jeres => beres, ceres, jeers, heres, feres, leres, jees.
Jericho => 
jerk => correct.
jerked => correct.
jerkiness => correct.
jerking => correct.
jerkings => jerkins, jerking.
jerks => correct.
jerky => correct.
Jeroboam => correct.
Jerome => 
Jerry => correct.
jersey => correct.
jerseys => correct.
Jerusalem => 
Jesse => correct.
Jessica => 
Jessie => jesse.
Jessy => messy, jesse, jess.
jest => correct.
jested => correct.
jester => correct.
jesting => correct.
jests => correct.
Jesuit => correct.
Jesuitism => correct.
Jesuitize => 
Jesuitized => 
Jesuitizes => 
Jesuitizing => 
Jesuits => correct.
Jesus => jehus, jests, jess.
jet => correct.
jetliner => correct.
jets => correct.
jetted => correct.
jetting => correct.
Jew => correct.
jewel => correct.
jeweled => correct.
jeweler => correct.
Jewell => correct.
Jewelled => correct.
jewelries => correct.
jewelry => correct.
jewels => correct.
Jewett => 
Jewish => correct.
Jewishness => 
Jews => correct.
jiffy => correct.
jig => correct.
jigs => correct.
jigsaw => correct.
Jill => correct.
Jim => aim, dim, him, jism, mim, nim.
Jimenez => 
Jimmie => gimmie.
jingle => correct.
jingled => correct.
jingling => correct.
Jinny => minny, ninny, djinny, jinn, finny, ginny, hinny.
jitter => correct.
jitterbug => correct.
jittery => correct.
Jo => correct.
Joan => eoan, koan, loan, moan, roan.
Joanna => goanna.
Joanne => 
Joaquin => 
job => correct.
Jobrel => 
jobs => correct.
jockey => correct.
jockstrap => correct.
jocund => correct.
Jody => tody, judy, joy, joey, body, joky.
Joe => correct.
Joel => jowl, joe, goel, koel, joll, jodel, jole, noel.
Joes => correct.
jog => correct.
jogging => correct.
jogs => correct.
Johann => 
Johanna => 
Johannes => correct.
Johannesburg => 
Johansen => 
Johanson => 
John => correct.
Johnnie => 
Johnny => correct.
Johns => correct.
Johnsen => 
Johnson => 
Johnston => 
Johnstown => 
join => correct.
joined => correct.
joiner => correct.
joiners => correct.
joining => correct.
joins => correct.
joint => correct.
jointly => correct.
joints => correct.
joke => correct.
joked => correct.
joker => correct.
jokers => correct.
jokes => correct.
joking => correct.
jokingly => correct.
Joliet => 
Jolla => olla, jolls, joll, holla, jolly, molla.
jolly => correct.
jolt => correct.
jolted => correct.
jolting => correct.
jolts => correct.
Jon => join, on, bon, con, don, eon, fon, john, jeon, jo.
Jonas => donas, monas, nonas, jones, jotas.
Jonathan => 
Jonathanization => 
Jonathanizations => 
Jones => correct.
Joneses => correct.
jonquil => correct.
Joplin => poplin.
Jordan => correct.
Jordanian => 
Jorge => forge, gorge, porge.
Jorgensen => 
Jorgenson => 
Jose => ose, joe, joes, cose, dose, hose, lose, mose.
Josef => 
Joseph => correct.
Josephine => 
Josephson => 
Josephus => josephs.
Joshua => 
Josiah => 
jostle => correct.
jostled => correct.
jostles => correct.
jostling => correct.
jot => correct.
jots => correct.
jotted => correct.
jotting => correct.
joule => correct.
journal => correct.
journalism => correct.
journalist => correct.
journalists => correct.
journalize => correct.
journalized => correct.
journalizes => correct.
journalizing => correct.
journals => correct.
journey => correct.
journeyed => correct.
journeying => correct.
journeyings => journeying.
journeyman => correct.
journeymen => correct.
journeys => correct.
joust => correct.
jousted => correct.
jousting => correct.
jousts => correct.
Jovanovich => 
Jove => cove, dove, hove, love, move, joe.
jovial => correct.
Jovian => jovial.
joy => correct.
Joyce => 
joyful => correct.
joyfully => correct.
joyous => correct.
joyously => correct.
joyousness => correct.
joyride => correct.
joys => correct.
joystick => correct.
Juan => tuan, yuan, jean, duan, jun, guan.
Juanita => 
Jubal => jumbal, jugal, tubal, jubas, juba, bubal, jural.
jubilee => correct.
Judaica => 
Judaism => correct.
Judas => correct.
Judd => jud, jud, juds, mudd, judo, rudd, sudd.
Judder => correct.
Juddered => correct.
Juddering => correct.
Judders => correct.
Jude => judge, jud, dude, gude, lude, nude, rude.
Judea => 
judge => correct.
judged => correct.
judges => correct.
judging => correct.
judgment => correct.
judgments => correct.
judicial => correct.
judiciary => correct.
judicious => correct.
judiciously => correct.
Judith => 
judo => correct.
Judson => 
Judy => correct.
jug => correct.
juggle => correct.
juggler => correct.
jugglers => correct.
juggles => correct.
juggling => correct.
Jugoslavia => 
jugs => correct.
juice => correct.
juices => correct.
juiciest => correct.
juicy => correct.
Jukes => correct.
Jules => pules, rules, tules, ules, juleps, joules, gules, mules.
Julia => dulia.
Julian => 
Julie => 
Julies => juries, judies.
Juliet => 
Julio => 
Julius => 
July => correct.
jumble => correct.
jumbled => correct.
jumbles => correct.
jumbo => correct.
jump => correct.
jumped => correct.
jumper => correct.
jumpers => correct.
jumping => correct.
jumps => correct.
jumpy => correct.
junction => correct.
junctions => correct.
juncture => correct.
junctures => correct.
June => correct.
Juneau => correct.
Junes => tunes, june, dunes, lunes, janes, runes.
Jung => bung, dung, fung, gung, hung, jug, jun.
Jungian => 
jungle => correct.
jungles => correct.
junior => correct.
juniors => correct.
juniper => correct.
junk => correct.
junker => correct.
junkers => correct.
junks => correct.
junky => correct.
Juno => june, junto, judo, junco, junk, jun.
junta => correct.
Jupiter => correct.
Jura => correct.
Juras => auras, buras, duras, muras, jurats, suras, jura.
Jurassic => 
jure => correct.
juries => correct.
jurisdiction => correct.
jurisdictions => correct.
jurisprudence => correct.
jurist => correct.
juror => correct.
jurors => correct.
jury => correct.
just => correct.
justice => correct.
justices => correct.
justifiable => correct.
justifiably => correct.
justification => correct.
justifications => correct.
justified => correct.
justifier => correct.
justifiers => correct.
justifies => correct.
justify => correct.
justifying => correct.
Justine => justing, justice.
Justinian => 
justly => correct.
justness => correct.
jut => correct.
Jutish => 
Jutland => outland.
jutting => correct.
juvenile => correct.
juveniles => correct.
juxtapose => correct.
juxtaposed => correct.
juxtaposes => correct.
juxtaposing => correct.
Kabuki => correct.
Kabul => babul.
Kaddish => correct.
Kafka => kaka.
Kafkaesque => 
Kahn => kaon, khan, karn, kain.
Kajar => kabar, ajar.
Kalamazoo => 
Kali => correct.
Kalmuk => 
Kamchatka => 
Kamikaze => correct.
Kamikazes => correct.
Kampala => tampala, kamala.
Kampuchea => 
Kanarese => 
Kane => correct.
kangaroo => correct.
kanji => correct.
Kankakee => 
Kannada => 
Kansas => correct.
Kant => correct.
Kantian => 
Kaplan => 
kappa => correct.
Karachi => 
Karamazov => 
karate => correct.
Karen => karn, aren.
Karl => knarl, carl, earl, farl, harl, jarl.
Karol => parol, karoo, carol.
Karp => parp, tarp, warp, carp, harp.
Kashmir => correct.
Kaskaskia => 
Kate => kae, kat, bate, skate, date, fate, ate, cate, gate.
Katharine => 
Katherine => 
Kathleen => 
Kathy => lathy.
Katie => tatie, katis, kati.
Katmandu => 
Katowice => 
Katz => kat, kats, kata, kati.
Kauffman => 
Kaufman => 
Kay => correct.
Keaton => 
Keats => keas, ketas, meats, kets, eats, kats, beats, feats, heats, leats.
Keegan => 
keel => correct.
keeled => correct.
keeling => correct.
keels => correct.
keen => correct.
Keenan => 
keener => correct.
keenest => correct.
keenly => correct.
keenness => correct.
keep => correct.
keeper => correct.
keepers => correct.
keeping => correct.
keeps => correct.
Keith => meith, kith.
Keller => yeller, feller, heller, seller, teller.
Kelley => kelly.
Kellogg => 
Kelly => correct.
Kelsey => kersey.
Kelvin => correct.
Kemp => correct.
ken => correct.
Kendall => 
Kenilworth => 
Kennan => 
Kennecott => 
Kennedy => kenned.
kennel => correct.
kennels => correct.
Kenneth => 
Kenney => kenner, kennel, kenned.
Kenning => correct.
Kenny => benny, fenny, henny, jenny, penny.
Kenosha => 
Kensington => 
Kent => correct.
Kenton => 
Kentucky => 
Kenya => 
Kenyon => 
Kepler => kegler, keeler.
kept => correct.
kerchief => correct.
kerchiefs => correct.
Kermit => kermis, hermit, permit.
kern => correct.
kernel => correct.
kernels => correct.
Kernighan => 
kerosene => correct.
Kerouac => 
Kerr => keir, serr, terr, err, kerb, kerf.
Kessler => 
ketchup => correct.
Kettering => tettering, bettering, fettering, gettering, lettering.
kettle => correct.
kettles => correct.
Kevin => levin, kevil, kelvin.
Kewaskum => 
Kewaunee => 
key => correct.
keyboard => correct.
keyboards => correct.
keyed => correct.
Keyes => keys, eyes, keyed, kexes.
keyhole => correct.
keying => correct.
Keynes => kernes.
Keynesian => 
keynote => correct.
keypad => correct.
keypads => correct.
keys => correct.
keystroke => correct.
keystrokes => correct.
keyword => correct.
keywords => correct.
Khartoum => 
Khmer => 
Khrushchev => 
Khrushchevs => 
kick => correct.
Kickapoo => 
kicked => correct.
kicker => correct.
kickers => correct.
kicking => correct.
kickoff => correct.
kicks => correct.
kid => correct.
Kidde => kiddy, kiddie, kiddo, kiddle.
kidded => correct.
kiddie => correct.
kidding => correct.
kidnap => correct.
kidnapper => correct.
kidnappers => correct.
kidnapping => correct.
kidnappings => kidnapping.
kidnaps => correct.
kidney => correct.
kidneys => correct.
kids => correct.
Kieffer => 
Kiel => diel, kill, riel, koel, keel.
Kiev => kier, kief.
Kiewit => 
Kigali => 
Kikuyu => 
Kilgore => 
Kilimanjaro => 
kill => correct.
Killebrew => 
killed => correct.
killer => correct.
killers => correct.
killing => correct.
killingly => correct.
killings => correct.
killjoy => correct.
kills => correct.
kilobit => correct.
kilobits => correct.
kiloblock => 
kilobyte => correct.
kilobytes => correct.
kilogram => correct.
kilograms => correct.
kilohertz => 
kilohm => 
kilojoule => correct.
kilometer => correct.
kilometers => correct.
kiloton => correct.
kilovolt => correct.
kilowatt => correct.
kiloword => 
Kim => kaim, aim, dim, skim, him, mim, nim.
Kimball => 
Kimberly => limberly.
kimono => correct.
kin => correct.
